udi,type,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type,diff_temperature_k
296,M,1716,30.7,119,No Failure,10.5
297,L,1395,46.2,122,No Failure,10.5
298,L,1713,25.3,124,No Failure,10.5
299,H,2129,18.7,126,No Failure,10.600000000000023
300,M,1567,35.6,131,No Failure,10.5
301,L,1622,38.3,134,No Failure,10.599999999999966
303,H,1512,35.1,138,No Failure,10.599999999999966
304,M,1479,43.5,143,No Failure,10.599999999999966
305,L,1737,27.5,146,No Failure,10.599999999999966
306,L,2129,19.2,148,No Failure,10.599999999999966
307,L,1374,47.1,150,No Failure,10.599999999999966
308,M,1579,36.6,152,No Failure,10.599999999999966
310,M,1449,40.8,157,No Failure,10.600000000000023
311,H,1526,41.8,160,No Failure,10.600000000000023
314,L,1313,50.8,170,No Failure,10.600000000000023
315,M,1300,53.0,172,No Failure,10.600000000000023
316,L,1646,40.6,175,No Failure,10.5
318,L,1685,28.4,179,No Failure,10.599999999999966
320,L,1612,32.1,183,No Failure,10.599999999999966
323,L,1448,40.0,192,No Failure,10.699999999999989
326,L,1699,27.8,199,No Failure,10.699999999999989
327,L,1501,41.4,201,No Failure,10.800000000000011
328,L,1373,56.7,203,Overstrain Failure,10.800000000000011
329,H,1703,31.4,205,No Failure,10.799999999999955
331,M,1398,41.9,215,No Failure,10.799999999999955
332,M,1391,51.9,218,No Failure,10.799999999999955
333,M,1538,40.2,0,No Failure,10.699999999999989
334,L,1647,31.3,3,No Failure,10.699999999999989
335,M,1469,44.8,5,No Failure,10.600000000000023
336,L,1749,25.9,8,No Failure,10.700000000000045
337,M,1995,20.5,10,No Failure,10.599999999999966
339,L,1563,38.2,15,No Failure,10.699999999999989
341,L,1474,39.4,20,No Failure,10.700000000000045
342,M,1530,32.6,22,No Failure,10.800000000000011
343,L,1471,46.5,25,No Failure,10.800000000000011
344,L,1388,48.6,27,No Failure,10.800000000000011
345,M,2448,13.8,29,No Failure,10.699999999999989
347,M,1459,45.2,34,No Failure,10.800000000000011
348,L,1544,40.8,37,No Failure,10.800000000000011
350,L,1595,34.3,41,No Failure,10.699999999999989
351,H,1400,44.3,43,No Failure,10.699999999999989
353,M,1507,46.0,51,No Failure,10.799999999999955
355,L,1658,34.3,59,No Failure,10.699999999999989
357,M,1398,48.9,63,No Failure,10.799999999999955
358,L,1517,34.2,66,No Failure,10.799999999999955
359,M,1467,36.7,68,No Failure,10.699999999999989
361,M,1521,38.2,74,No Failure,10.800000000000011
362,L,1596,36.8,77,No Failure,10.800000000000011
364,L,1438,47.8,84,No Failure,10.699999999999989
365,L,1407,55.2,86,No Failure,10.799999999999955
366,L,1353,57.5,88,No Failure,10.799999999999955
367,M,1552,40.9,90,No Failure,10.899999999999977
368,M,1569,38.3,93,No Failure,10.799999999999955
369,L,1489,39.5,96,No Failure,10.899999999999977
370,H,1587,36.1,98,No Failure,10.899999999999977
372,L,1604,38.1,106,No Failure,10.899999999999977
373,M,1405,51.7,108,No Failure,10.900000000000034
377,M,1401,51.9,117,No Failure,10.800000000000011
378,M,1424,53.9,120,No Failure,10.800000000000011
379,L,1754,29.4,123,No Failure,10.899999999999977
380,L,1754,26.8,125,No Failure,10.899999999999977
381,L,2564,12.8,127,Power Failure,10.800000000000011
385,L,1712,26.8,136,No Failure,11.0
386,M,1414,45.4,138,No Failure,11.0
387,L,1319,50.9,141,No Failure,11.099999999999966
388,L,1249,60.4,143,No Failure,11.0
391,L,1460,46.7,150,No Failure,11.099999999999966
392,L,1491,38.1,152,No Failure,11.0
394,M,1350,52.2,157,No Failure,10.899999999999977
395,L,1528,39.9,160,No Failure,10.899999999999977
396,L,1571,37.7,162,No Failure,10.900000000000034
397,L,1490,42.6,164,No Failure,10.900000000000034
398,M,1774,28.9,166,No Failure,10.900000000000034
402,L,1722,30.4,178,No Failure,11.0
403,L,1678,32.3,180,No Failure,11.200000000000045
404,L,1273,59.8,182,No Failure,11.300000000000011
405,L,1297,45.9,184,No Failure,11.300000000000011
406,L,1350,57.6,186,No Failure,11.199999999999989
407,L,1439,51.9,188,No Failure,11.200000000000045
408,M,1600,42.1,190,No Failure,11.100000000000023
411,M,1472,44.9,198,No Failure,11.100000000000023
413,L,1388,48.2,203,No Failure,11.100000000000023
414,L,1573,34.5,205,No Failure,11.0
415,L,1588,32.5,207,No Failure,11.0
416,L,1511,42.8,209,No Failure,10.899999999999977
418,L,1394,50.1,213,No Failure,11.0
419,L,2151,17.7,0,No Failure,11.0
420,M,1501,38.2,2,No Failure,11.0
421,M,1301,39.6,5,No Failure,11.0
422,M,1657,31.1,8,No Failure,11.0
423,L,1333,55.2,11,No Failure,11.0
424,L,1484,43.9,13,No Failure,11.0
425,L,1430,45.7,15,No Failure,11.099999999999966
426,M,1665,28.9,17,No Failure,11.099999999999966
429,M,1595,36.9,25,No Failure,11.0
430,L,1208,62.3,28,No Failure,11.100000000000023
431,L,1596,37.1,30,No Failure,11.100000000000023
432,L,1446,41.9,32,No Failure,11.0
433,M,1466,39.7,34,No Failure,10.899999999999977
434,M,1848,23.7,37,No Failure,10.899999999999977
437,L,1504,36.3,45,No Failure,11.0
438,L,1538,38.5,47,No Failure,11.0
439,L,1341,52.2,49,No Failure,11.0
442,H,1393,46.6,56,No Failure,11.0
444,H,1469,45.1,63,No Failure,11.100000000000023
447,L,1452,39.0,72,No Failure,11.100000000000023
448,M,1376,59.9,74,No Failure,11.099999999999966
449,L,1552,44.9,77,No Failure,11.100000000000023
450,L,1622,37.9,79,No Failure,11.099999999999966
452,H,1440,46.1,84,No Failure,11.100000000000023
453,M,1643,31.0,89,No Failure,11.200000000000045
455,L,1468,46.6,94,No Failure,11.300000000000011
456,L,1429,57.4,96,No Failure,11.300000000000011
458,L,1276,53.6,103,No Failure,11.200000000000045
459,L,1486,42.6,105,No Failure,11.300000000000011
464,L,2874,4.2,118,Power Failure,11.300000000000011
465,L,1511,35.7,120,No Failure,11.300000000000011
466,M,1456,42.9,122,No Failure,11.300000000000011
467,L,1550,41.5,125,No Failure,11.300000000000011
469,L,1619,31.6,129,No Failure,11.399999999999977
471,H,1499,44.2,134,No Failure,11.5
473,M,1497,41.8,144,No Failure,11.600000000000023
474,M,1520,37.0,147,No Failure,11.600000000000023
476,L,1380,41.1,152,No Failure,11.700000000000045
477,L,1570,37.9,154,No Failure,11.600000000000023
478,H,1468,41.4,156,No Failure,11.600000000000023
479,L,1833,22.6,161,No Failure,11.600000000000023
480,M,1323,57.3,163,No Failure,11.5
481,L,1583,32.0,166,No Failure,11.600000000000023
482,M,1556,39.5,168,No Failure,11.699999999999989
486,M,1685,30.7,177,No Failure,11.600000000000023
487,M,1582,35.9,180,No Failure,11.700000000000045
490,M,1347,55.8,188,No Failure,11.699999999999989
491,L,1459,37.9,191,No Failure,11.800000000000011
492,L,1420,45.6,193,No Failure,11.800000000000011
493,L,1404,43.5,195,No Failure,11.800000000000011
494,L,1470,38.8,197,No Failure,11.800000000000011
495,L,1326,49.8,199,No Failure,11.799999999999955
496,H,1459,49.7,201,No Failure,11.800000000000011
497,M,1530,40.0,206,No Failure,11.699999999999989
498,L,1505,39.2,209,No Failure,11.600000000000023
499,L,1611,30.2,211,No Failure,11.600000000000023
500,L,1515,35.1,213,No Failure,11.600000000000023
503,L,1390,43.3,221,No Failure,11.599999999999966
505,M,1529,41.9,3,No Failure,11.699999999999989
507,L,1543,34.3,8,No Failure,11.699999999999989
510,M,1415,41.3,17,No Failure,11.699999999999989
511,L,1564,37.5,20,No Failure,11.800000000000011
512,L,1479,39.4,22,No Failure,11.800000000000011
513,L,1426,44.8,24,No Failure,11.699999999999989
514,L,1428,38.8,26,No Failure,11.800000000000011
515,L,1620,33.2,28,No Failure,11.800000000000011
516,L,1715,28.0,30,No Failure,11.699999999999989
517,L,1732,29.9,32,No Failure,11.800000000000011
519,L,1924,20.6,37,No Failure,11.899999999999977
520,M,2027,19.8,39,No Failure,11.800000000000011
521,L,1617,36.2,42,No Failure,11.899999999999977
522,L,1497,35.8,44,No Failure,11.899999999999977
523,M,1448,43.7,46,No Failure,12.0
525,L,1620,35.4,51,No Failure,12.0
526,L,1466,45.5,53,No Failure,12.0
528,M,1592,35.8,57,No Failure,12.0
530,L,1569,36.2,63,No Failure,11.899999999999977
533,L,1443,45.4,70,No Failure,11.899999999999977
534,L,1675,29.8,72,No Failure,11.800000000000011
535,L,1623,33.4,74,No Failure,11.800000000000011
536,H,1365,52.4,76,No Failure,11.900000000000034
537,L,1759,24.8,81,No Failure,11.900000000000034
538,H,1516,43.0,83,No Failure,11.900000000000034
541,L,1473,45.5,94,No Failure,12.0
543,L,1803,24.7,98,No Failure,11.899999999999977
544,H,1563,36.1,100,No Failure,11.800000000000011
545,M,1831,26.6,105,No Failure,11.899999999999977
547,L,1809,24.3,110,No Failure,11.899999999999977
550,L,1437,40.4,117,No Failure,11.800000000000011
555,H,1368,45.3,129,No Failure,11.899999999999977
557,L,1357,50.1,137,No Failure,11.899999999999977
559,L,1650,34.6,142,No Failure,11.899999999999977
560,L,1503,40.6,144,No Failure,11.899999999999977
561,L,1318,58.2,146,No Failure,11.899999999999977
562,M,1678,34.4,148,No Failure,11.899999999999977
563,L,1574,30.9,151,No Failure,11.899999999999977
564,L,1529,35.2,153,No Failure,11.900000000000034
565,H,1669,32.1,155,No Failure,12.0
566,H,1570,35.8,160,No Failure,12.0
568,M,1680,30.2,168,No Failure,12.0
569,L,1935,22.1,171,No Failure,11.899999999999977
572,M,1676,29.0,178,No Failure,12.0
574,L,1472,45.0,183,No Failure,12.0
575,M,1439,41.7,185,No Failure,12.100000000000023
577,H,1440,51.1,191,No Failure,12.0
578,L,1591,37.7,196,No Failure,12.0
579,L,1533,36.8,198,No Failure,12.0
580,M,1700,31.3,200,No Failure,11.899999999999977
581,M,1798,25.5,203,No Failure,12.0
582,L,1394,42.9,206,No Failure,11.899999999999977
583,L,1341,49.2,208,No Failure,11.899999999999977
590,L,1491,40.2,231,No Failure,11.799999999999955
591,L,1517,36.7,233,No Failure,11.899999999999977
592,H,1525,41.7,235,No Failure,11.800000000000011
593,H,1668,27.9,240,No Failure,12.0
595,H,1278,50.4,2,No Failure,12.0
596,M,1330,53.1,7,No Failure,12.0
597,M,1530,37.3,10,No Failure,12.0
598,H,1428,46.6,13,No Failure,12.0
599,L,1480,47.9,18,No Failure,11.900000000000034
600,H,1616,31.1,20,No Failure,12.0
604,L,1336,71.6,31,Power Failure,11.900000000000034
606,M,1693,29.9,35,No Failure,11.900000000000034
610,L,1629,32.5,45,No Failure,11.799999999999955
611,L,1534,33.7,47,No Failure,11.899999999999977
612,L,1553,40.9,49,No Failure,11.899999999999977
613,L,1563,32.8,51,No Failure,11.799999999999955
614,L,1634,30.0,53,No Failure,11.799999999999955
615,M,1445,45.2,55,No Failure,11.899999999999977
616,L,1642,30.4,58,No Failure,11.799999999999955
617,H,1686,29.1,60,No Failure,11.799999999999955
618,M,1393,43.1,65,No Failure,11.899999999999977
620,L,1507,44.7,73,No Failure,11.699999999999989
621,M,1389,49.6,75,No Failure,11.800000000000011
623,M,1725,32.0,80,No Failure,11.800000000000011
625,H,1509,37.6,85,No Failure,11.800000000000011
629,M,1335,57.8,96,No Failure,11.700000000000045
630,L,1523,45.9,99,No Failure,11.800000000000011
631,L,1460,47.6,101,No Failure,11.699999999999989
632,L,1554,37.3,103,No Failure,11.600000000000023
633,H,1419,47.1,105,No Failure,11.699999999999989
634,L,1442,43.9,110,No Failure,11.699999999999989
637,L,1463,43.9,116,No Failure,11.599999999999966
638,L,1585,37.4,118,No Failure,11.5
639,L,1536,37.3,120,No Failure,11.600000000000023
640,L,1403,51.3,122,No Failure,11.600000000000023
642,L,1390,47.9,127,No Failure,11.600000000000023
643,M,1226,58.7,129,No Failure,11.599999999999966
645,H,1608,30.2,135,No Failure,11.699999999999989
646,L,1392,44.1,140,No Failure,11.699999999999989
648,L,1559,36.9,145,No Failure,11.600000000000023
653,L,1391,44.5,159,No Failure,11.5
658,L,1365,58.6,170,No Failure,11.5
661,M,1700,27.4,176,No Failure,11.5
662,M,1427,45.6,179,No Failure,11.399999999999977
664,L,1469,44.0,185,No Failure,11.399999999999977
666,L,1729,28.1,189,No Failure,11.399999999999977
668,L,1459,48.5,193,No Failure,11.399999999999977
669,L,1738,24.0,195,No Failure,11.399999999999977
670,H,1471,37.7,197,No Failure,11.399999999999977
671,L,1822,25.4,202,No Failure,11.399999999999977
672,L,1554,34.8,204,No Failure,11.399999999999977
674,L,1449,47.7,209,No Failure,11.299999999999955
675,L,1456,41.2,0,No Failure,11.199999999999989
676,M,1424,45.5,2,No Failure,11.300000000000011
677,H,1577,34.7,5,No Failure,11.300000000000011
680,L,1372,47.3,15,No Failure,11.399999999999977
681,M,1432,42.6,17,No Failure,11.300000000000011
682,M,1656,33.2,20,No Failure,11.300000000000011
683,H,1410,48.8,23,No Failure,11.199999999999989
685,L,1538,43.2,30,No Failure,11.300000000000011
686,M,1636,29.7,32,No Failure,11.300000000000011
687,M,1504,40.4,35,No Failure,11.300000000000011
688,M,1531,42.4,38,No Failure,11.300000000000011
689,H,1735,26.4,41,No Failure,11.399999999999977
690,H,1354,55.6,46,No Failure,11.399999999999977
691,H,1413,40.2,51,No Failure,11.399999999999977
692,L,1563,39.3,56,No Failure,11.400000000000034
694,L,1477,38.3,60,No Failure,11.400000000000034
695,L,1394,50.0,62,No Failure,11.5
696,L,1487,45.4,64,No Failure,11.399999999999977
697,M,1815,25.3,66,No Failure,11.399999999999977
698,M,1453,39.7,69,No Failure,11.199999999999989
699,L,1539,40.2,72,No Failure,11.199999999999989
701,M,1683,31.6,79,No Failure,11.199999999999989
702,L,1515,40.1,82,No Failure,11.100000000000023
703,M,1531,48.3,84,No Failure,11.199999999999989
705,L,1516,33.7,92,No Failure,11.199999999999989
708,L,1838,27.3,99,No Failure,11.199999999999989
710,M,1357,49.7,104,No Failure,11.199999999999989
711,M,1697,28.1,107,No Failure,11.199999999999989
713,L,1453,37.6,112,No Failure,11.199999999999989
714,L,1439,46.4,114,No Failure,11.200000000000045
715,L,1609,36.2,116,No Failure,11.200000000000045
716,L,1324,59.1,118,No Failure,11.200000000000045
718,L,1545,36.9,125,No Failure,11.300000000000011
719,L,1477,39.0,127,No Failure,11.300000000000011
722,L,1696,30.9,133,No Failure,11.399999999999977
723,L,1427,44.7,135,No Failure,11.399999999999977
725,L,1390,44.6,140,No Failure,11.399999999999977
726,L,1640,34.2,142,No Failure,11.400000000000034
727,M,1628,37.4,144,No Failure,11.400000000000034
728,H,1499,37.6,147,No Failure,11.300000000000011
730,L,1586,37.7,155,No Failure,11.300000000000011
731,M,1471,50.7,157,No Failure,11.300000000000011
732,M,1431,53.0,160,No Failure,11.300000000000011
733,L,1924,22.1,163,No Failure,11.400000000000034
734,M,1421,42.0,165,No Failure,11.299999999999955
735,H,1305,54.6,168,No Failure,11.399999999999977
736,L,1557,32.4,173,No Failure,11.5
739,L,1506,45.9,182,No Failure,11.5
741,M,1450,46.9,186,No Failure,11.5
743,L,1643,34.7,191,No Failure,11.399999999999977
745,L,1450,40.9,195,No Failure,11.400000000000034
746,L,1451,50.7,197,No Failure,11.300000000000011
747,L,1289,62.0,199,Overstrain Failure,11.300000000000011
749,H,1528,46.3,203,No Failure,11.400000000000034
751,L,1535,36.8,210,No Failure,11.300000000000011
752,M,1843,24.2,212,No Failure,11.300000000000011
754,L,1536,40.4,217,No Failure,11.199999999999989
755,M,1483,44.3,219,No Failure,11.200000000000045
760,M,1537,36.3,233,No Failure,11.100000000000023
762,L,1646,34.6,238,No Failure,11.100000000000023
764,L,1400,47.5,3,No Failure,11.100000000000023
765,L,1337,56.5,5,No Failure,11.099999999999966
766,L,1332,53.9,7,No Failure,11.100000000000023
768,L,1546,31.1,11,No Failure,11.100000000000023
769,L,1713,29.3,13,No Failure,11.100000000000023
770,L,1343,44.5,15,No Failure,11.100000000000023
771,L,1391,54.4,17,No Failure,11.199999999999989
772,H,1311,58.6,19,No Failure,11.199999999999989
775,L,1448,48.8,31,No Failure,11.099999999999966
777,L,1468,39.2,35,No Failure,11.100000000000023
779,L,1580,32.2,39,No Failure,11.300000000000011
780,L,1666,29.8,41,No Failure,11.199999999999989
783,L,1698,30.8,48,No Failure,11.099999999999966
784,H,1579,33.4,50,No Failure,11.199999999999989
785,L,1743,27.9,55,No Failure,11.199999999999989
788,L,1435,45.3,62,No Failure,11.200000000000045
789,M,1440,46.3,64,No Failure,11.200000000000045
790,M,1641,33.3,67,No Failure,11.100000000000023
791,L,1420,45.4,70,No Failure,11.099999999999966
792,L,1611,35.4,72,No Failure,11.099999999999966
794,M,1683,31.8,76,No Failure,11.099999999999966
795,H,1547,32.6,79,No Failure,11.0
796,L,1605,37.0,84,No Failure,10.900000000000034
798,L,1565,40.1,89,No Failure,10.899999999999977
799,M,1828,24.6,91,No Failure,10.900000000000034
800,M,1579,34.1,94,No Failure,10.800000000000011
801,M,1882,24.2,97,No Failure,10.899999999999977
802,L,1285,52.1,100,No Failure,10.900000000000034
803,L,1571,35.0,102,No Failure,10.900000000000034
804,H,1549,37.8,104,No Failure,10.900000000000034
805,M,1544,37.6,109,No Failure,10.900000000000034
806,M,1412,47.4,112,No Failure,10.899999999999977
807,M,1422,53.0,115,No Failure,10.899999999999977
808,L,1867,22.8,118,No Failure,10.699999999999989
